ts_code,name,year,造血占比,输血占比,Capex内生强度,M&A依赖度,合计校验,备注
600809.SH,山西汾酒,2020,19.24,1.03,0.99,0,20.27,合计偏差79.7%，大于5%
600809.SH,山西汾酒,2021,11.18,1.55,0.52,0,12.73,合计偏差87.3%，大于5%
600809.SH,山西汾酒,2022,12.27,1.64,2.25,0,13.91,合计偏差86.1%，大于5%
600809.SH,山西汾酒,2023,10.16,2.38,1.1,0,12.54,合计偏差87.5%，大于5%
600809.SH,山西汾酒,2024,7.21,1.99,1.19,0,9.2,合计偏差90.8%，大于5%
002304.SZ,洋河股份,2015,18.53,2.19,2.12,0,20.72,合计偏差79.3%，大于5%
002304.SZ,洋河股份,2016,17.63,1.91,1.24,0,19.54,合计偏差80.5%，大于5%
002304.SZ,洋河股份,2017,18.77,1.71,0.75,0,20.48,合计偏差79.5%，大于5%
002304.SZ,洋河股份,2018,19.97,1.5,0.95,0,21.47,合计偏差78.5%，大于5%
002304.SZ,洋河股份,2019,15.81,1.39,0.59,0,17.2,合计偏差82.8%，大于5%
002304.SZ,洋河股份,2020,7.25,1.38,0.66,0,8.63,合计偏差91.4%，大于5%
002304.SZ,洋河股份,2021,7.97,1.17,0.62,0,9.14,合计偏差90.9%，大于5%
002304.SZ,洋河股份,2022,5.11,1.37,0.79,0,6.48,合计偏差93.5%，大于5%
002304.SZ,洋河股份,2023,4.83,1.37,1.59,0,6.2,合计偏差93.8%，大于5%
002304.SZ,洋河股份,2024,4.35,1.42,2.16,0,5.77,合计偏差94.2%，大于5%
000596.SZ,古井贡酒,2015,14.81,18.03,3.31,0,32.84,合计偏差67.2%，大于5%
000596.SZ,古井贡酒,2016,16.21,14.83,1.98,0,31.04,合计偏差69.0%，大于5%
000596.SZ,古井贡酒,2017,17.98,12.76,1.97,0,30.74,合计偏差69.3%，大于5%
000596.SZ,古井贡酒,2018,16.17,10.36,2.46,0,26.52,合计偏差73.5%，大于5%
000596.SZ,古井贡酒,2019,16.24,9.34,2.97,0,25.58,合计偏差74.4%，大于5%
000596.SZ,古井贡酒,2020,14.78,9.39,3.7,0,24.17,合计偏差75.8%，大于5%
000596.SZ,古井贡酒,2021,15.2,25.34,2.27,0,40.54,合计偏差59.5%，大于5%
000596.SZ,古井贡酒,2022,17.66,21.47,5.3,0,39.13,合计偏差60.9%，大于5%
000596.SZ,古井贡酒,2023,15.89,18.1,6.72,0,33.99,合计偏差66.0%，大于5%
000596.SZ,古井贡酒,2024,13.4,15.82,5.99,0,29.22,合计偏差70.8%，大于5%
603589.SH,口子窖,2015,9.18,21.64,2.15,0,30.81,合计偏差69.2%，大于5%
603589.SH,口子窖,2016,9.19,17.17,3.13,0,26.35,合计偏差73.6%，大于5%
603589.SH,口子窖,2017,13.41,12.73,2.31,0,26.14,合计偏差73.9%，大于5%
603589.SH,口子窖,2018,12.08,11.05,3.09,0,23.13,合计偏差76.9%，大于5%
603589.SH,口子窖,2019,9.33,10.28,1.45,0,19.61,合计偏差80.4%，大于5%
603589.SH,口子窖,2020,8.84,9.96,3.92,0,18.8,合计偏差81.2%，大于5%
603589.SH,口子窖,2021,10.48,8.89,5.44,0,19.37,合计偏差80.6%，大于5%
603589.SH,口子窖,2022,9.1,8.48,3.45,0,17.58,合计偏差82.4%，大于5%
603589.SH,口子窖,2023,10.56,7.78,2.31,0,18.33,合计偏差81.7%，大于5%
603589.SH,口子窖,2024,11.03,7.22,2.98,0,18.24,合计偏差81.8%，大于5%
600779.SH,水井坊,2015,18.73,22.26,0.43,0,40.99,合计偏差59.0%，大于5%
600779.SH,水井坊,2016,16.16,18.13,1.16,0,34.29,合计偏差65.7%，大于5%
600779.SH,水井坊,2017,20.52,14.32,3.1,0,34.84,合计偏差65.2%，大于5%
600779.SH,水井坊,2018,23.33,12.49,4.12,0,35.82,合计偏差64.2%，大于5%
600779.SH,水井坊,2019,20.93,10.24,5.46,0,31.17,合计偏差68.8%，大于5%
600779.SH,水井坊,2020,11.92,9.08,4.99,0,21,合计偏差79.0%，大于5%
600779.SH,水井坊,2021,13.15,6.8,9.13,0,19.95,合计偏差80.0%，大于5%
600779.SH,水井坊,2022,11.4,6.03,13.52,0,17.42,合计偏差82.6%，大于5%
600779.SH,水井坊,2023,12.78,5,11.56,0,17.78,合计偏差82.2%，大于5%
600779.SH,水井坊,2024,10.54,3.37,5.55,0,13.91,合计偏差86.1%，大于5%
000799.SZ,酒鬼酒,2015,8.82,52.23,2.23,0,61.05,合计偏差39.0%，大于5%
000799.SZ,酒鬼酒,2016,9.99,50.46,2.31,0,60.45,合计偏差39.5%，大于5%
000799.SZ,酒鬼酒,2017,13.12,45.69,0.33,0,58.8,合计偏差41.2%，大于5%
000799.SZ,酒鬼酒,2018,15.25,40.46,4.24,0,55.71,合计偏差44.3%，大于5%
000799.SZ,酒鬼酒,2019,14.15,35.97,1.1,0,50.12,合计偏差49.9%，大于5%
000799.SZ,酒鬼酒,2020,11.47,26.78,1.15,0,38.24,合计偏差61.8%，大于5%
000799.SZ,酒鬼酒,2021,9.94,19.35,2.63,0,29.29,合计偏差70.7%，大于5%
000799.SZ,酒鬼酒,2022,11.86,19.94,4.17,0,31.8,合计偏差68.2%，大于5%
000799.SZ,酒鬼酒,2023,11.56,20.52,6.4,0,32.07,合计偏差67.9%，大于5%
000799.SZ,酒鬼酒,2024,9.01,22.87,8.32,0,31.88,合计偏差68.1%，大于5%
600702.SH,舍得酒业,2015,3.8,41.27,0.91,0,45.07,合计偏差54.9%，大于5%
600702.SH,舍得酒业,2016,7.39,41.31,1.12,0,48.7,合计偏差51.3%，大于5%
600702.SH,舍得酒业,2017,16.18,31.61,3.18,0,47.79,合计偏差52.2%，大于5%
600702.SH,舍得酒业,2018,16.86,31.18,5.22,0,48.04,合计偏差52.0%，大于5%
600702.SH,舍得酒业,2019,17.22,29.7,3.28,0,46.92,合计偏差53.1%，大于5%
600702.SH,舍得酒业,2020,21.05,20.7,3.88,0,41.75,合计偏差58.3%，大于5%
600702.SH,舍得酒业,2021,20.86,9.09,2.54,0,29.95,合计偏差70.0%，大于5%
600702.SH,舍得酒业,2022,19.18,8.67,5.96,0,27.85,合计偏差72.2%，大于5%
600702.SH,舍得酒业,2023,17.88,8.72,7.86,0,26.59,合计偏差73.4%，大于5%
600702.SH,舍得酒业,2024,13.94,16.77,8.48,0,30.72,合计偏差69.3%，大于5%
603369.SH,今世缘,2015,11.36,24.37,2.07,0,35.73,合计偏差64.3%，大于5%
603369.SH,今世缘,2016,12.58,14.45,2.06,0,27.03,合计偏差73.0%，大于5%
603369.SH,今世缘,2017,12.12,9.93,3.42,0,22.05,合计偏差78.0%，大于5%
603369.SH,今世缘,2018,11.91,8.59,2.39,0,20.5,合计偏差79.5%，大于5%
603369.SH,今世缘,2019,11.9,7.12,1.49,0,19.02,合计偏差81.0%，大于5%
603369.SH,今世缘,2020,11.36,9.1,3.34,0,20.46,合计偏差79.5%，大于5%
603369.SH,今世缘,2021,14.36,4.97,4,0,19.33,合计偏差80.7%，大于5%
603369.SH,今世缘,2022,16.24,7.25,6.31,0,23.5,合计偏差76.5%，大于5%
603369.SH,今世缘,2023,15.54,7.52,10.14,0,23.06,合计偏差76.9%，大于5%
603369.SH,今世缘,2024,15.08,8.1,7.5,0,23.17,合计偏差76.8%，大于5%
